indicator,region,year,gender,diabetes_rate,absolute value,id,title.fi,title.en
683,977,2009,total,6.4,6996,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,976,2009,total,7.1,9191,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,958,2009,total,8.9,9622,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,962,2009,total,7.7,3595,962,Kainuun hyvinvointialue,Kainuu wellbeing services county
683,969,2009,total,5.3,10711,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,970,2009,total,6.9,17276,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,973,2009,total,7.4,13783,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county
683,957,2009,total,7.0,5398,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county
683,963,2009,total,7.0,6657,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,975,2009,total,6.8,7939,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county
683,974,2009,total,8.0,11394,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,956,2009,total,4.0,599,956,Ahvenanmaa,Åland
683,968,2009,total,7.3,7602,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,959,2010,total,8.4,7554,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county
683,974,2010,total,8.6,12277,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county
683,977,2010,total,6.7,7483,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county
683,956,2010,total,4.2,635,956,Ahvenanmaa,Åland
683,960,2010,total,5.6,15927,960,Helsingin kaupunki,City of Helsinki
683,963,2010,total,7.6,7297,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county
683,969,2010,total,5.6,11647,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county
683,966,2010,total,6.8,6300,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county
683,970,2010,total,7.5,18926,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county
683,976,2010,total,7.7,9951,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county
683,964,2010,total,8.3,2909,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county
683,971,2010,total,6.6,5928,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county
683,958,2010,total,9.6,10475,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county
683,968,2010,total,7.9,8212,968,Lapin hyvinvointialue,Lapland wellbeing services county
683,965,2010,total,8.3,11810,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county
