indicator,region,year,gender,primary value,absolute value,id,title.fi,title.en,Information,Year,Region,value,hva_code,region_name
683,975,2016,total,9.7,11750,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA09 Päijät-Häme wellbeing services county,26317,HVA09,Päijät-Häme wellbeing services county
683,969,2016,total,8.5,19456,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA03 West Uusimaa wellbeing services county,32809,HVA03,West Uusimaa wellbeing services county
683,970,2016,total,11.0,29096,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA08 Pirkanmaa wellbeing services county,27238,HVA08,Pirkanmaa wellbeing services county
683,964,2016,total,10.3,3699,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2016,HVA18 Central Ostrobothnia wellbeing services county,27346,HVA18,Central Ostrobothnia wellbeing services county
683,959,2017,total,11.9,10393,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA12 South Savo wellbeing services county,25829,HVA12,South Savo wellbeing services county
683,974,2017,total,12.3,17551,974,Pohjois-Savon hyvinvointialue,North Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA13 North Savo wellbeing services county,26412,HVA13,North Savo wellbeing services county
683,960,2017,total,8.2,25103,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2017,HVA90 City of Helsinki,31127,HVA90,City of Helsinki
683,977,2017,total,10.2,12653,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA04 Vantaa and Kerava wellbeing services county,31100,HVA04,Vantaa and Kerava wellbeing services county
683,956,2017,total,5.2,849,956,Ahvenanmaa,Åland,"Disposable monetary income per consumption unit, median",2017,HVA91 Åland,33787,HVA91,Åland
683,967,2017,total,11.6,11859,967,Kymenlaakson hyvinvointialue,Kymenlaakso wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA10 Kymenlaakso wellbeing services county,27011,HVA10,Kymenlaakso wellbeing services county
683,971,2017,total,8.9,8200,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA17 Ostrobothnia wellbeing services county,28362,HVA17,Ostrobothnia wellbeing services county
683,978,2017,total,10.1,26112,978,Varsinais-Suomen hyvinvointialue,Southwest Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA05 Southwest Finland wellbeing services county,27791,HVA05,Southwest Finland wellbeing services county
683,961,2017,total,9.9,5389,961,Itä-Uudenmaan hyvinvointialue,East Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA01 East Uusimaa wellbeing services county,31240,HVA01,East Uusimaa wellbeing services county
683,973,2017,total,11.1,22187,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA19 North Ostrobothnia wellbeing services county,27196,HVA19,North Ostrobothnia wellbeing services county
683,972,2017,total,12.7,12205,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA14 North Karelia wellbeing services county,24989,HVA14,North Karelia wellbeing services county
683,966,2017,total,10.4,10685,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA02 Central Uusimaa wellbeing services county,31980,HVA02,Central Uusimaa wellbeing services county
683,965,2017,total,11.4,16559,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA15 Central Finland wellbeing services county,26455,HVA15,Central Finland wellbeing services county
683,968,2017,total,11.6,11918,968,Lapin hyvinvointialue,Lapland wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA21 Lapland wellbeing services county,27064,HVA21,Lapland wellbeing services county
683,976,2017,total,10.9,14061,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA06 Satakunta wellbeing services county,27219,HVA06,Satakunta wellbeing services county
683,962,2017,total,12.1,5431,962,Kainuun hyvinvointialue,Kainuu wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA20 Kainuu wellbeing services county,26118,HVA20,Kainuu wellbeing services county
683,958,2017,total,12.9,14026,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA16 South Ostrobothnia wellbeing services county,26792,HVA16,South Ostrobothnia wellbeing services county
683,970,2017,total,11.2,29960,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA08 Pirkanmaa wellbeing services county,27490,HVA08,Pirkanmaa wellbeing services county
683,969,2017,total,8.9,20512,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA03 West Uusimaa wellbeing services county,33030,HVA03,West Uusimaa wellbeing services county
683,964,2017,total,10.4,3752,964,Keski-Pohjanmaan hyvinvointialue,Central Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA18 Central Ostrobothnia wellbeing services county,27486,HVA18,Central Ostrobothnia wellbeing services county
683,963,2017,total,11.3,11187,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA07 Kanta-Häme wellbeing services county,28109,HVA07,Kanta-Häme wellbeing services county
683,957,2017,total,10.6,8199,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA11 South Karelia wellbeing services county,26637,HVA11,South Karelia wellbeing services county
683,975,2017,total,9.9,11982,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2017,HVA09 Päijät-Häme wellbeing services county,26422,HVA09,Päijät-Häme wellbeing services county
683,963,2018,total,11.6,11530,963,Kanta-Hämeen hyvinvointialue,Kanta-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA07 Kanta-Häme wellbeing services county,28362,HVA07,Kanta-Häme wellbeing services county
683,966,2018,total,10.8,11269,966,Keski-Uudenmaan hyvinvointialue,Central Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA02 Central Uusimaa wellbeing services county,32162,HVA02,Central Uusimaa wellbeing services county
683,969,2018,total,9.1,21392,969,Länsi-Uudenmaan hyvinvointialue,West Uusimaa wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA03 West Uusimaa wellbeing services county,33277,HVA03,West Uusimaa wellbeing services county
683,970,2018,total,11.4,30797,970,Pirkanmaan hyvinvointialue,Pirkanmaa wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA08 Pirkanmaa wellbeing services county,27790,HVA08,Pirkanmaa wellbeing services county
683,973,2018,total,11.3,22842,973,Pohjois-Pohjanmaan hyvinvointialue,North Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA19 North Ostrobothnia wellbeing services county,27441,HVA19,North Ostrobothnia wellbeing services county
683,976,2018,total,11.2,14382,976,Satakunnan hyvinvointialue,Satakunta wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA06 Satakunta wellbeing services county,27542,HVA06,Satakunta wellbeing services county
683,958,2018,total,13.0,14232,958,Etelä-Pohjanmaan hyvinvointialue,South Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA16 South Ostrobothnia wellbeing services county,27052,HVA16,South Ostrobothnia wellbeing services county
683,971,2018,total,9.2,8464,971,Pohjanmaan hyvinvointialue,Ostrobothnia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA17 Ostrobothnia wellbeing services county,28611,HVA17,Ostrobothnia wellbeing services county
683,959,2018,total,12.3,10636,959,Etelä-Savon hyvinvointialue,South Savo wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA12 South Savo wellbeing services county,26199,HVA12,South Savo wellbeing services county
683,965,2018,total,11.6,16997,965,Keski-Suomen hyvinvointialue,Central Finland wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA15 Central Finland wellbeing services county,26655,HVA15,Central Finland wellbeing services county
683,977,2018,total,10.5,13190,977,Vantaan ja Keravan hyvinvointialue,Vantaa and Kerava wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA04 Vantaa and Kerava wellbeing services county,31317,HVA04,Vantaa and Kerava wellbeing services county
683,960,2018,total,8.3,25869,960,Helsingin kaupunki,City of Helsinki,"Disposable monetary income per consumption unit, median",2018,HVA90 City of Helsinki,31731,HVA90,City of Helsinki
683,957,2018,total,10.8,8325,957,Etelä-Karjalan hyvinvointialue,South Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA11 South Karelia wellbeing services county,26868,HVA11,South Karelia wellbeing services county
683,972,2018,total,13.1,12582,972,Pohjois-Karjalan hyvinvointialue,North Karelia wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA14 North Karelia wellbeing services county,25290,HVA14,North Karelia wellbeing services county
683,975,2018,total,10.1,12273,975,Päijät-Hämeen hyvinvointialue,Päijät-Häme wellbeing services county,"Disposable monetary income per consumption unit, median",2018,HVA09 Päijät-Häme wellbeing services county,26640,HVA09,Päijät-Häme wellbeing services county
